cluster,city,region,planned_path,status,overwrite_risk,note
website-laten-maken,Rotterdam,Zuid-Holland,/website-laten-maken-rotterdam/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
webshop-laten-maken,Rotterdam,Zuid-Holland,/webshop-laten-maken-rotterdam/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
online-marketing,Rotterdam,Zuid-Holland,/online-marketing/online-marketing-rotterdam/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
social-media-beheer,Rotterdam,Zuid-Holland,/social-media-beheer-rotterdam/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
hosting,Rotterdam,Zuid-Holland,/hosting-rotterdam/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
branding-design,Rotterdam,Zuid-Holland,/branding-design-rotterdam/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
webdesign,Rotterdam,Zuid-Holland,/webdesign/webdesign-rotterdam/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
seo-bureau,Rotterdam,Zuid-Holland,/seo-bureau-rotterdam/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
website-laten-maken,Den Haag,Zuid-Holland,/website-laten-maken-den-haag/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
webshop-laten-maken,Den Haag,Zuid-Holland,/webshop-laten-maken-den-haag/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
online-marketing,Den Haag,Zuid-Holland,/online-marketing/online-marketing-den-haag/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
social-media-beheer,Den Haag,Zuid-Holland,/social-media-beheer-den-haag/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
hosting,Den Haag,Zuid-Holland,/hosting-den-haag/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
branding-design,Den Haag,Zuid-Holland,/branding-design-den-haag/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
webdesign,Den Haag,Zuid-Holland,/webdesign/webdesign-den-haag/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
seo-bureau,Den Haag,Zuid-Holland,/seo-bureau-den-haag/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
website-laten-maken,Dordrecht,Zuid-Holland,/website-laten-maken-dordrecht/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
webshop-laten-maken,Dordrecht,Zuid-Holland,/webshop-laten-maken-dordrecht/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
online-marketing,Dordrecht,Zuid-Holland,/online-marketing/online-marketing-dordrecht/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
social-media-beheer,Dordrecht,Zuid-Holland,/social-media-beheer-dordrecht/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
hosting,Dordrecht,Zuid-Holland,/hosting-dordrecht/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
branding-design,Dordrecht,Zuid-Holland,/branding-design-dordrecht/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
webdesign,Dordrecht,Zuid-Holland,/webdesign/webdesign-dordrecht/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
seo-bureau,Dordrecht,Zuid-Holland,/seo-bureau-dordrecht/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
website-laten-maken,Leiden,Zuid-Holland,/website-laten-maken-leiden/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
webshop-laten-maken,Leiden,Zuid-Holland,/webshop-laten-maken-leiden/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
online-marketing,Leiden,Zuid-Holland,/online-marketing/online-marketing-leiden/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
social-media-beheer,Leiden,Zuid-Holland,/social-media-beheer-leiden/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
hosting,Leiden,Zuid-Holland,/hosting-leiden/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
branding-design,Leiden,Zuid-Holland,/branding-design-leiden/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
webdesign,Leiden,Zuid-Holland,/webdesign/webdesign-leiden/,generated-zuid-holland-completion,none,Regional cluster plan; only first-batch rows are generated in this phase.
seo-bureau,Leiden,Zuid-Holland,/seo-bureau-leiden/,generated-zuid-holland-completion,none,Regional cluster plan; only first-batch rows are generated in this phase.
website-laten-maken,Delft,Zuid-Holland,/website-laten-maken-delft/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
webshop-laten-maken,Delft,Zuid-Holland,/webshop-laten-maken-delft/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
online-marketing,Delft,Zuid-Holland,/online-marketing/online-marketing-delft/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
social-media-beheer,Delft,Zuid-Holland,/social-media-beheer-delft/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
hosting,Delft,Zuid-Holland,/hosting-delft/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
branding-design,Delft,Zuid-Holland,/branding-design-delft/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
webdesign,Delft,Zuid-Holland,/webdesign/webdesign-delft/,generated-zuid-holland-completion,none,Regional cluster plan; only first-batch rows are generated in this phase.
seo-bureau,Delft,Zuid-Holland,/seo-bureau-delft/,generated-zuid-holland-completion,none,Regional cluster plan; only first-batch rows are generated in this phase.
website-laten-maken,Gouda,Zuid-Holland,/website-laten-maken-gouda/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
webshop-laten-maken,Gouda,Zuid-Holland,/webshop-laten-maken-gouda/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
online-marketing,Gouda,Zuid-Holland,/online-marketing/online-marketing-gouda/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
social-media-beheer,Gouda,Zuid-Holland,/social-media-beheer-gouda/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
hosting,Gouda,Zuid-Holland,/hosting-gouda/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
branding-design,Gouda,Zuid-Holland,/branding-design-gouda/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
webdesign,Gouda,Zuid-Holland,/webdesign/webdesign-gouda/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
seo-bureau,Gouda,Zuid-Holland,/seo-bureau-gouda/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
website-laten-maken,Schiedam,Zuid-Holland,/website-laten-maken-schiedam/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
webshop-laten-maken,Schiedam,Zuid-Holland,/webshop-laten-maken-schiedam/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
online-marketing,Schiedam,Zuid-Holland,/online-marketing/online-marketing-schiedam/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
social-media-beheer,Schiedam,Zuid-Holland,/social-media-beheer-schiedam/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
hosting,Schiedam,Zuid-Holland,/hosting-schiedam/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
branding-design,Schiedam,Zuid-Holland,/branding-design-schiedam/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
webdesign,Schiedam,Zuid-Holland,/webdesign/webdesign-schiedam/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
seo-bureau,Schiedam,Zuid-Holland,/seo-bureau-schiedam/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
website-laten-maken,Vlaardingen,Zuid-Holland,/website-laten-maken-vlaardingen/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
webshop-laten-maken,Vlaardingen,Zuid-Holland,/webshop-laten-maken-vlaardingen/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
online-marketing,Vlaardingen,Zuid-Holland,/online-marketing/online-marketing-vlaardingen/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
social-media-beheer,Vlaardingen,Zuid-Holland,/social-media-beheer-vlaardingen/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
hosting,Vlaardingen,Zuid-Holland,/hosting-vlaardingen/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
branding-design,Vlaardingen,Zuid-Holland,/branding-design-vlaardingen/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
webdesign,Vlaardingen,Zuid-Holland,/webdesign/webdesign-vlaardingen/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
seo-bureau,Vlaardingen,Zuid-Holland,/seo-bureau-vlaardingen/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
website-laten-maken,Zoetermeer,Zuid-Holland,/website-laten-maken-zoetermeer/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
webshop-laten-maken,Zoetermeer,Zuid-Holland,/webshop-laten-maken-zoetermeer/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
online-marketing,Zoetermeer,Zuid-Holland,/online-marketing/online-marketing-zoetermeer/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
